id,area,floor,max_floor,type,wall_type,rooms,region,year,price
1,45.0,3,5,Вторичка,кирпичный,1,Ленинский,,3800000
2,36.0,3,17,Новостройки,монолитный,1,Фрунзенский,,2440000
3,35.0,6,9,Новостройки,кирпичный,1,Заволжский,,1638000
4,69.9,5,9,Вторичка,кирпичный,3,Фрунзенский,,4000000
5,44.0,4,5,Вторичка,панельный,2,Дзержинский,,1600000
6,49.0,5,9,Вторичка,кирпичный,2,Красноперекопский,1982,2600000
7,55.0,4,4,Вторичка,кирпичный,3,Ленинский,1963,2550000
8,72.6,1,5,Вторичка,панельный,4,Фрунзенский,1986,2300000
9,45.0,2,9,Новостройки,кирпичный,1,Дзержинский,,1900000
10,38.5,16,18,Вторичка,кирпичный,1,Фрунзенский,,1849000
11,49.1,5,5,Вторичка,панельный,2,Дзержинский,,1550000
12,31.0,2,5,Вторичка,кирпичный,1,Фрунзенский,,1250000
13,30.0,2,2,Вторичка,кирпичный,1,Заволжский,,1350000
14,45.0,11,14,Новостройки,монолитный,1,Фрунзенский,,1850000
15,63.0,1,9,Вторичка,кирпичный,3,Фрунзенский,,2400000
16,35.0,1,3,Вторичка,кирпичный,1,Ленинский,,1650000
17,35.0,1,4,Вторичка,кирпичный,1,Заволжский,2017,2300000
18,50.2,1,9,Вторичка,кирпичный,2,Фрунзенский,,2250000
19,47.0,1,9,Вторичка,панельный,1,Дзержинский,1976,1629000
20,74.0,3,3,Вторичка,кирпичный,3,Кировский,,3300000
21,43.0,3,5,Вторичка,кирпичный,2,Красноперекопский,,1700000
22,36.0,1,17,Новостройки,монолитный,1,Фрунзенский,,1750000
23,,2,5,Вторичка,кирпичный,1,Ленинский,1963,1690000
24,60.2,3,5,Вторичка,кирпичный,2,Красноперекопский,1972,3100000
25,34.0,3,3,Вторичка,кирпичный,1,Заволжский,2014,1550000
26,40.5,11,17,Вторичка,кирпичный,1,Дзержинский,,1810000
27,47.0,4,5,Вторичка,кирпичный,2,Красноперекопский,,2200000
28,37.0,1,3,Вторичка,кирпичный,1,Красноперекопский,,750000
29,34.0,7,16,Новостройки,кирпичный,1,Заволжский,,1475000
30,49.4,6,9,Вторичка,панельный,2,Дзержинский,,2300000
31,61.7,1,9,Вторичка,кирпичный,3,Дзержинский,,3400000
32,37.8,1,4,Вторичка,кирпичный,1,Заволжский,,1350000
33,44.0,2,5,Вторичка,кирпичный,3,Заволжский,,1600000
34,36.6,17,17,Новостройки,монолитный,1,Фрунзенский,,2078880
35,41.5,4,5,Вторичка,кирпичный,2,Фрунзенский,1975,2250000
36,37.4,8,17,Вторичка,кирпичный,1,Красноперекопский,,2100000
37,41.3,4,10,Вторичка,кирпичный,1,Фрунзенский,,2700000
38,71.0,2,8,Вторичка,кирпичный,2,Красноперекопский,,4800000
39,35.0,2,4,Вторичка,кирпичный,1,Дзержинский,1954,1750000
40,38.0,9,9,Вторичка,панельный,1,Заволжский,1988,1950000
41,87.0,1,9,Вторичка,панельный,4,Дзержинский,,2699000
42,63.0,1,3,Вторичка,кирпичный,3,Красноперекопский,1958,2650000
43,31.0,2,5,Вторичка,панельный,1,Дзержинский,1972,1650000
44,35.0,8,9,Вторичка,панельный,1,Дзержинский,1983,1710000
45,43.0,6,17,Новостройки,монолитный,1,Фрунзенский,,2400000
46,99.0,9,10,Вторичка,кирпичный,3,Дзержинский,,6850000
47,36.0,4,10,Вторичка,панельный,1,Фрунзенский,,2000000
48,,2,5,Вторичка,кирпичный,1,Фрунзенский,,1650000
49,84.0,4,5,Вторичка,панельный,4,Дзержинский,,2600000
50,,1,5,Вторичка,кирпичный,1,Красноперекопский,,1450000
51,76.0,2,10,Вторичка,кирпичный,3,Фрунзенский,,4150000
52,86.0,1,10,Вторичка,кирпичный,3,Заволжский,,4300000
53,,8,9,Вторичка,панельный,1,Дзержинский,,1200000
54,,5,5,Вторичка,панельный,1,Дзержинский,,1250000
55,57.2,5,5,Вторичка,панельный,3,Кировский,,3400000
56,39.0,1,9,Вторичка,панельный,1,Заволжский,,1850000
